English,Tulu
The former are the ones who took the wood from the song,ಪಾಡಿರ್ದ್ ಕನಕ್ ತಪ್ಪು ತುಂಬಿನಕ್ಲ್ ದುಂಬುದಕ್ಲ್
Anuj is bouncing,ಅನುಜೆ  ನೂಕೊಂದುಲ್ಲೆ
The moon is facing,ಚಂದ್ರೆ   ಎದುರಿಸವೊಂದುಲ್ಲೆ
The lockdown-type curfew imposed by the government in view of corona control continues for the 4th day.,ಕೊರೊನಾ ನಿಯಂತ್ರಣದ ದೃಷ್ಟಿರ್ದ್ ಸರಕಾರ ಜಾರಿ ಮಲ್ದಿನ ಲಾಕ್‌ಡೌನ್‌ ಮಾದರಿದ ಕರ್ಫ್ಯೂ 4ನೇ ದಿನಲಾ ದುಂಬು ಬೈದುಂಡು.
Kambala sport is very popular in Tulunadu,ಕಂಬ್ಲ ಗೊಬ್ಬು ತುಲುನಾಡುಡ್ ಮಸ್ತ್ ಪೆರ್ಮೆ ಪಡೆದುಂಡ್
"As much as you dig, so much as you take",ಒಕ್ಕಲಾತ್ ಒಕ್ಕಿಯೆಗೆ ಗೋರಲಾತ್ ಗೋರಿಯೆಗೆ
The plant will help patients during Covid.,ಕೋವಿಡ್ ಪೊರ್ತುಡು ಈ ಪ್ಲಾಂಟ್‌ರ್ದ್ ರೋಗಿಲೆಗ್ ಸಾಕಾಯ ಆಪುಂಡು.
Achintya is kissing,ಅಚಿಂತ್ಯೆ  ಮುತ್ತ-ಕೊರೊಂದುಲ್ಲೆ
It is true that the practice of exorcism is now in flux.,ಭೂತಾರಾಧನೆ ಇಂಚಿಪ ಆಡಂಬರೊಡು ಆವೊಂದುಂಡು ಪನ್ಪಿನ ಸತ್ಯ
suresh is healthy,ಸುರೇಶೆ ಆರೋಗ್ಯವಂತೆಯಾತೆ
Amar is the king of beauty.,ಅಮರೆ ಪೊರ್ಲುದ ರಾಜೆಯಾತೆ
The templates for the licenses for the film from the English Wikipedia should be copied to the Tulu Wikipedia.,ಇಂಗ್ಲಿಸ್ ವಿಕಿಪೀಡಿಯೊಡ್ದ್ ಚಿತ್ರೊಗಾತ್ರೊ ಇಪ್ಪುನ ಲೈಸೆನ್ಸ್‌ಲೆನ ಟೆಂಪ್ಲೇಟ್‌ಲೆನ್ ತುಳು ವಿಕಿಪೀಡಿಯೊಡು ನಕಲ್ ಮಲ್ಪೊಡು.
The serene one is walking slowly,ಪ್ರಶಾಂತೆ ನಿಧಾನೊಡು ನಡತೊಂದುಲ್ಲೆ
The former Tulu people were in a joint family group,ದುಂಬುದ ತುಳುವೆರ್ ಕೂಡು ಕುಟುಂಬದ ಕೂಟೊಡು ಇತ್ತಿನಕ್ಲ್
There's a lack of anything,ಆಪೀನ ಒವೆಟ್ಲ ಕೊರತೆ
Varuna releases an arrow,ವರುಣೆ ಬಾಣ ಬುಡ್ಪೆ
Ashwatthaya is praising,ಅಶ್ವಥೆ  ಪುಗರೊಂದುಲ್ಲೆ
The Guru saw the little hand that was bleeding.,ನೆತ್ತೆರ್ ಜಪ್ಪುನ ಆ ಕೈನ್ ಗುರುಕುಲ್ ತೂಯೆರ್
"This is what Sandhi Pardhan, a true historian of Tulunada, says.",ಪನ್ಪುನೆನ್ ತುಳುನಾಡ ಸತ್ಯ ಚರಿತ್ರೆ ಸಾರುನ ಸಂಧಿ ಪಾರ್ದನ ಪನ್ಪುಂಡು
"Don't say it like that, instead say it like this.",ಅಂಚ ಇಂದುದು ಪಣಡ ಆಯಿತ ಬದಲು ಇಂಚ ಪಣ್ಲೆ
Vishwanath disputes in court,ವಿಶ್ವನಾಥೆ ಕೊರ್ಟುಡು ವಿವಾದ ಮಲ್ಪುವೆ
The potential is running,ವಿಭವೆ  ಜಾರವೊಂದುಲ್ಲೆ
"Nowadays, leave the kids alone.",ಬೊಕ ಇತ್ತೆದ ದಿನೊಟ್ ಜೋಕುಲೆಗ್ ಬುಡ್ಲೆ
Achintya is flying a cloth,ಅಚಿಂತ್ಯೆ ಕುಂಟುನು ರಾಪಾವೊಂದುಲ್ಲೆ
It needs to be time-consuming.,ಆಯಿಟ್ ಕಾಲೇಸ ದೇಪ್ಫೂಲೆಕ ಮಲ್ಪೊಡು
The young doctor's father is a partner at a private hospital in Pumpwell. The daughter died at the same hospital without responding to treatment.,"ಪಂಪ್‌ವೆಲ್ ಡ್ ಉಪ್ಪುನ ಖಾಸಗಿ ಆಸ್ಪತ್ರೆಡ್ ಈ ಯುವ ವೈದ್ಯೆನ ಪೊಪ್ಪ ಪಾಲುದಾರೆರ್ ಆತೆರ್ , ಅವ್ವೆ ಆಸ್ಪತ್ರೆಡ್ ಮಗಲ್ ಚಿಕಿತ್ಸೆಗ್ ಸ್ಪಂದಿಸಾವಂದೆ ತೀರ್ ಪೋತೆರ್ ."
Mohan is the owner of the land,ಮೋಹನೆ ಆ ಭೂಮಿದ ಧನಿಯಾತೆ
There will be no daughter-in-law,ಉರ್ದು ಬೊಟ್ಟುನ ಮದ್ದಾಲೆ ಅಪುಜಿ
The survey celebrates,ಸರ್ವೇಶೆ  ಆಚರಿಸುವೆ
Indra is looking for,ಇಂದ್ರೆ  ನಾಡೊಂದುಲ್ಲೆ
"In his pride, Ramanna felt that it was not possible.",ಸಾಧ್ಯ ಇಜ್ಜಿ ಪಂದ್ ಗರ್ವೊಡೇ ರಾಮಣ್ಣೆ ಮನಸ್ಡ್ ಎನ್ನೊಂಡೆರ್
There is no reason why the answer is given today.,ಉಂದೆಕ್ಕ್ ಕಾರಣ ಇಜ್ಜಿ ಉತ್ತರ ಇನಿ ಕಾಲ ಕೊರೊಂದುಂಡು
The princess is very beautiful.,ರಾಜಕುಮಾರಿ ಬಾರಿ ಪೊರ್ಲುದಪೊಣ್ಣು
"Cleverness is spoken in the shobhan, and this also happens in that act.",ಶೊಭಾನೆಡ್ ಬುದ್ದಿ ಪಾತೆರ ಪನ್ಪೆರ ಉಂದುಲಾ ಆ ಒರುಟೆ ನಡಪುಂಡ್
kiran is a good actor,ಕಿರಣೆ ಎಡ್ಡೆ ನಟೆಯಾತೆ
Like some of the biggest guests today.,ಇತ್ತೆದ ಕೆಲವು ಮಲ್ಲ ಬಿನ್ನೆರ್ ಲೆಕ
If the mother or father joins his son with his wife and does what the family does not want,ಅಪ್ಪೆ ಯಾ ಅಮ್ಮೆ ತನ್ನ ಮಗೆ ಅಯನ ಬೊಡೆದಿನೊಟ್ಟು ಸೇರೊಂದು ಕುಟುಂಬೊಗು ಬೊರ್ಚಂದಿನ ಮಲ್ತೆಂಡ
"Before that, here, near Dupa, Madyalanna decorates the Dupa with four clippings of conch shells.",ಅಯಿಕ್ ದುಂಬೆ ಮೂಲು ದೂಪೆದ ಅಲ್ಪ ಮಡ್ಯೆಲಾಣ್ಣೆ ಕಂಗುದ ನಾಲ್ ಗುರ್ಜಿ ಪಾಡುದ್ ದೂಪೆನು ಪೊರ್ಲು ಅಲಂಕಾರ ಮಲ್ಪುವೆರ್
"Kallaje, Kalmadka, Panja, Eshwaramangala, Koyil, Ujire, Panjikallu, Peraje, Kotegehara, Kalasa, Koppa in Chikmagalur district received heavy rainfall along with lightning.","ಕಲ್ಲಾಜೆ, ಕಲ್ಮಡ್ಕ, ಪಂಜ, ಈಶ್ವರಮಂಗಲ, ಕೊಯಿಲ, ಉಜಿರೆ, ಪಂಜಿಕಲ್ಲು ಪೆರಾಜೆ,ಚಿಕ್ಕಮಗಳೂರು ಜಿಲ್ಲೆದ ಕೊಟ್ಟಿಗೆಹಾರ, ಕಳಸ, ಕೊಪ್ಪಡ್ , ತೆಡಿಲ್ ದೊಟ್ಟುಗು ಭಾರಿ ಬರ್ಸ ಬೈದುಂಡು."
The harvest full moon is the day before the full moon in the month of Pisces,ಕರಂಗೋಲು ಪನ್ಪುನವು ಒಂಜಿ ಕುಣಿತದ ಪುದರ್
There is a need to increase the fertility of the soil in this cultivation of ours so that it remains intact.,ನಮ್ಮ ಈ ಬೆನ್ನಿಡ್ ಮಣ್ಣುದ ಸಾರೊನು ಎಚ್ಚ ಮಳ್ಪೊಡು ಆಯಿಕಾತ್ರ ದಪ್ಪುನ ಅಗತ್ಯ ಉಂಡು
A buffalo without a calf is called a buffalo.,ಕಂಜಿ ಪಾಡಂದಿನ ಎರ್ಮೆನು ಗೊಡ್ಡು ಎರ್ಮೆ ಪನ್ಪೆರ್
Jayaraj is a good actor.,ಜಯರಾಜೆ ಎಡ್ಡೆ ನಟೆಯಾತೆ
"If the action is wrong, the work can be done, not just sewing on the yarn.",ಕ್ರಮ ತತ್ತುಂಡ ಕೆಲಸ ಆವ ಬಜಿ ನೂಲುಡು ಪೊಲ್ಲೆರ ಆಪುಜಿ ಅತ್ತೆ
All of you should see it and give your opinion.,ನಿಕ್‍ಲ್ ಮಾತ ಅಯಿನ್ ತೂದ್ ನಿಕ್ಲೆನ ಅಭಿಪ್ರಾಯ ಪಣೊಡ್.
Fun leads the way,ವಿನೋದೆ  ಮುತಾಲಿಕೆನ್-ವಹಿಸುವೆ
The fact that guests are God does not cross our minds.,ಬಿನ್ನೆರೇ ದೇವೆರು ಪಣ್ಪಿ ಇಸಯ ನಮ್ಮ ಬುದ್ಧಿಡ್ ಮಾಜೆರೆ ಬಲ್ಲಿ
"Also, if you come to my yard and disturb me, I don't care.",ಅತ್ತಂದೆ ಎನ್ನ ಇಲ್ಲದ ಜಾಲ್ ಗ್ ಬತ್ತ್ ದ್ ಅಬತಾರ ದೀಂಡ ಯಾನ್ ಗೆನ್ಪುನಾಯೆನೆ ಅತ್ತ್
Then Babbu does a trick-or-treating job.,ಅದಗ ಬಬ್ಬು ಉಪಾಯಡ್ ಒಂಜಿ ಬೆಲೆ ಮಲ್ಪುವೆ
"When Bermalwar is in a childless state, the working woman says in a rant.",ಬೆರ್ಮಾಳ್ವೆರ್ ಸಂತಾನ ದಾಂತಿ ಕೊರದೊಡು ಉಪ್ಪುನಗ ಚಾಕಿರಿದ ಪೊಣ್ಣು ದಾರುಡ ಪನ್ಪೆರ್
The shepherd takes the fruit,ಸಾಕೇತೆ ಪಂರ್ದ್ ದೆತೊನುವೆ
He only had one life.,ಆಯಗ್ ಒರನೇ ಜೀವ
He was about to come up,ಇಲ್ಲ್ ಪೊಗುನಗನೇ ಪಂಡೇರ್
The Wizard Goes,ವಿಲೋಕೆ  ಪೋಪೆ
Especially for children.,ಅವೆಟ್ಟುಲ ಜೊಕುಲೆಗ್ ಬೊಡೇ ಬೊಡು
Is there stupidity in the inner core of exorcism?,ಭೂತಾರಾಧನೆದ ಉಲ ತಿರ್ಲ್ಡ್ ಮೌಢ್ಯತೆ ಉಂಡಾ
But some on the third day.,ಪುಟ್ಟಿ ಮೂಜಿ ದಿನರ್ದ್ ಬೊಕ ಪೇರ್ ಪೂಜಿದ್ ಮೀಪಾವೆರ್
Like picking up a jasmine ball,ಮಲ್ಲಿಗೆದ ಚೆಂಡ್ ದೆರ್ತೊಂದು ಪೋಯಿಲೆಕ್ಕ
Vishwajeet smiles beautifully,ವಿಶ್ವಜಿತೆ ಪೊರ್ಲುಡು ತೆಲಿಪುವೆ
How to increase love?,ಹೆಚ್ಚಾವುನೆಂಚಯೇ?
The Vijayanagara kings were aware of this.,ಪನ್ಪಿನೆನ್ ಪಿಂದೊನ್ನ ವಿಜಯನಗರದ ಅರಸುಲು
"In addition, the unique skill taught by his father",ಅವೆಡ್ದ್ ಮಿತ್ತ್ ಅಮ್ಮೆರ್ ಕಲ್ಪಾಯಿನ ಅಪೂರ್ಪೊದ ವಿದ್ಯೆನ್
Vinay is loving,ವಿನಯೆ ಪ್ರೀತಿಪರನಾತೆ
Rama is the king of beauty.,ರಾಮೆ ಪೊರ್ಲುದ ರಾಜೆಯಾತೆ
Brahma learns the truth that Bermalvaru draws tears in the Satyanapur palace.,ಸತ್ಯನಾಪುರದ ಎರಮನೆಡ್ ಬೆರ್ಮಾಳ್ವೆರ್ ಕನನೀರ್ ದೆಪ್ಪುವೆರ್ ಪನ್ಪಿ ಸತ್ಯ ಬೆರ್ಮೆರೆಗ್ ತೆರಿವುಂಡು
Vishwajeet is healthy,ವಿಶ್ವಜಿತೆ ಆರೋಗ್ಯವಂತೆಯಾತೆ
Neelkanth is shouting slogans,ನೀಲಕಂಠೆ ಘೋಷಣೆ ಪಾಡೊಂದುಲ್ಲೆ
How can this truth come down from the throats of those who tell it?,ಪನ್ಪುನಕ್ಲೆಗ್ ಈ ಸತ್ಯ ದೊಂಡೆರ್ದ್ ತಿರ್ತ್ ಜಪ್ಪುನಾಂಡಲಾ ಎಂಚಾ
Vimal is roaring,ವಿಮಲೆ  ಬೊಬ್ಬೆಪಾಡೊಂದುಲ್ಲೆ
What the believer is looking for,ವಿಶ್ವಾಸೆ ದಾದೆನ್ ನಾಡೊಂದುಲ್ಲೆ
The moon is traveling,ಚಂದ್ರೆ  ಪ್ರಯಾಣ-ಮಲ್ತೊಂದುಲ್ಲೆ
mango is very sweet mom,ಕುಕ್ಕು ಬಾರಿ ಚೀಪೆ ಉಂಡು ಅಪ್ಪೆ
The wizard is seated wearing a mantle,ಮಂತ್ರವಾದಿ ಮಂಡಲ ಬರೆದ್ ಕುಲೊಂದೆರ್
There's a lot of things,ವಿಷಯೊಲು ಮಸ್ತು ಉಂಡು
there is a manikanta,ಮಣಿಕಂಠೆ  ಆಣ್
Manmatha has to go,ಮನ್ಮಥೆ  ಪೋಡಾಪುಂಡು
Dance Karangolu for a week,ಪಂಡ ಪೂವೆದಾನಿ ಸುರುವಾಪುಂಡು
Vineesh goes,ವಿನಿಶೆ  ಪೋಪೆ
"If you come out of the house at that time, you will need a handkerchief in your parents'hands.",ಆ ಸಮಯೊಡು ಇಲ್ಲ್ ರ್ದ್ ಪಿದಾಯಿ ಬರ್ಪುಂಡ ಪೆದ್ಮೆದಿನ ಕೈಟ್ ಗೆಜ್ಜೆಕತ್ತಿ ಬೋಡಾಪುಂಡು
ayush does duty,ಆಯುಷೆ ಕೆಲಸ ಮಲ್ಪುವೆ
There is no telling when the black spot on the wound will go away.,ಗಾಯೊದ ಕಪ್ಪು ಕಲೆ ಯಾಪ ಮಾಜು ಇಂದುದು ಪನೆರ ಆಪುಜಿ
"Under the bamboo itself, they keep on playing the raga with a bang.",ಬೆದುರುದ ಮುದೆಲುಡೆ ಗೊಬ್ಬೆ ದೀವೊಂದು ರಾಗ ಪಂಡೊಂದು ಇಪ್ಪುವ
Slushy Tojank Thetala vines sprouted along the garden wall,ತೋಟ ಕಂಡದ ದಂಡೆದುದ್ದಗ್ ಅಲ್ಪಪ್ಪ ಕೊಡಿ ಬುಡ್ತಿನ ಕುಡು ತೇವು ತಿಮರೆ ತೊಜಂಕ್ ತೇಟ್ಲದ ಬೂರು ಸಸಿಕುಲು
the rainbow is playing,ವರುಣೆ  ಬೊಟ್ಟುವೆ
Chaitra 27 (May 10) Buddha Purnima,ಪಗ್ಗು ೨೭(ಮೇ ೧೦) ಬುದ್ಧ ಪುಣ್ಣಮೆ
Why Parshuram was not believed in the Naga origin of the family,ದಾಯೆ ಕುಟುಮದ ನಾಗನ ಮುದೆಲ್ಡ್ ಪರಶುರಾಮನ್ ನಂಬಿಜೆರ್
The moon is the owner,ಚಂದ್ರೆ  ಧನಿಯಾತೆ
Arun is watching,ಅರುಣೆ  ಗಮನಿಸೊಂದುಲ್ಲೆ
Crib of bullock carts,ಬೋರಿದ ಗಾಡಿದ ಕೊಟ್ಯ
What action will be taken?,ವಾ ಕಟ್ಲೆ ಬರ್ಪುಂಡುಂದು
She doesn't even know her mother.,ರಮ್ಯಗ್ ಲ ಗೊತ್ತಿಜ್ಜಿ ಅಲೆನ
Two people can be anyone.,ರಡ್ಡು ಜನಕುಲು ಪನ್ನಗ ಏರ್ಲಾ ಆವೊಲಿ
Aurobindo is seen,ಅರವಿಂದೆ  ತೋಜೊಂದುಲ್ಲೆ
That is why the Baidyars continue to be prayed for to this day.,ಅಯಿಕ್ಕೆ ಬೈದೆರ್ಲು ಇನಿಕ್ಕುಲಾ ನಿತ್ಯ ಪ್ರಾರ್ಥಸ್ಮರಣೆರ್
Aditayya was very poor,ಅದಿತೇಯೆ ಮಸ್ತ್ ಬಡವೆಯಾದಿತ್ತೆ
Shankar is dancing,ಶಂಕರೆ ನಲಿತೊಂದುಲ್ಲೆ
He is carrying a stroller.,ಅವ್ವೊಂಜಿ ಕೊರಗುಲೆ ತನಿಯೆ ತಿರಿ ಬೊಂಡ ತುಂಬೊಂದು ಬರ್ಪೆ
bring luggage but ten,ಸಾಮಾನ್ ಕನಪುಂಡಲ ಪತ್ತ್
Abhinav worships the goddess,ಅಭಿನವನು ದೇವಿನ ಆರಾಧನೆ ಮಲ್ಪುವೆ
Aditya learns,ಆದಿತ್ಯ ಕಲ್ಪುವೆ
Sivananda is watching the film,ಶಿವಾನಂದೆ ಚಿತ್ರೊನು ಗಮನಿಸೊಂದುಲ್ಲೆ
Arun is annoying.,ಅರುಣೆ ಕಿರಿಕಿರಿ-ಮಲ್ಪುವೆ
Karam means black.,ಕರ್ ಕೋಲು ಈ ರಡ್ಡ್ ಪದೊಕ್ಕುಲು ಸೇರ್ದ್ ಕರಂಗೋಲು ಆದಿಪ್ಪು
Tulunadu looks forward to seeing such a grand statue,ಅಂಚಿನ ಮಾಮಲ್ಲ ಮೂರ್ತಿನ್ ತೂಯೆರೆ ತುಳುನಾಡ್ ಕೊಡಿ ಕಾರ್ ಡುಂತ್ ಎದ್ರ್ ತೂವೊಂದಿತ್ತುಂಡ್
The'Shivalli Family of North America'was founded as a result of the vision of President Prashanth Mattu and Vice President Santosh Goli with the aim of preserving and nurturing the Shivalli tradition and culture by the family of Shivalli born in America or abroad and doing good work in the field of social service and culture.,"ಅಮೆರಿಕ ಅತ್ತ್‌ಡ ವಿದೇಶೊಡು ಪುಟ್ಟುದು ಬುಳೆವುಂದುಪ್ಪುನ ಶಿವಳ್ಳಿ ಹಿನ್ನೆಲೆದ ಕುಟುಂಬಿಕೆರ್ ಶಿವಳ್ಳಿ ಸಂಪ್ರದಾಯ, ಸಂಸ್ಕೃತಿ ಉಂದೆನ್ ಮಾತ ಒರಿಪಾದ್ ಬುಳೆಪಾವುನ ಉದ್ದೇಶ ಅತ್ತಾಂದೆ ಸಮಾಜ ಸೇವೆ, ಸಾಂಸ್ಕೃತಿಕ ಕ್ಷೇತ್ರೊಡು ಮಸ್ತ್ ಕೆಲಸ ಮಲ್ಪುನ ಉದ್ದೇಶೊಡು ಗುರ್ಕಾರೆ ಪ್ರಶಾಂತ್ ಮಟ್ಟು ಬೊಕ್ಕ ಒತ್ತು ಗುರ್ಕಾರೆ ಸಂತೋಷ್ ಗೋಳಿ ಮೊಕ್ಲೆನ ದೂರದರ್ಶಿತ್ವದ ಫಲವಾದ್ ಶಿವಳ್ಳಿ ಕುಟುಂಬ ಆಫ್ ನಾರ್ಥ್ ಅಮೇರಿಕಾ’ ಸ್ಥಾಪನೆ ಆತ್ಂಡ್."
"Whose eyes are these, the Brahman knows when he looks into the eyes of Jnana.",ಉಂದು ಯೇರೆ ಕನನೀರ್ ಪನೊಂದು ಗೇನದ ದಿಟ್ಟಿಡ್ ತೂನಗ ಬೆರ್ಮೆರೆಗ್ ತೆರಿವುಂಡು
Mahesh is screaming like crazy.,ಮಹೇಶೆ ಮರ್ಲನಂಚ ಬೊಬ್ಬೆ ಪಾಡೊಂದುಲ್ಲೆ
Prakashan is kissing the baby,ಪ್ರಕಾಶೆ ಬಾಲೆಗ್ ಮುತ್ತ ಕೊರೊಂದುಲ್ಲೆ
A story I've heard since I was a kid.,ಕಿನ್ಯಡ್ಡ್ ಕೇನೊಂದು ಬತ್ತಿ ಕಥೆ
They are reluctant to make a decision at once,ಒರನೇ ತಿರ್ಮಾನ ದೆತೊಂಡ್ರೆ ನರ್ಗುವೆರ್
Ready to blow the wind,ಗಾಳಿ ಬೀಜಾಯೆರೆ ತಯಾರಾಯೆರ್
"At that time, the house of grass that was leaking in the rainy season",ಆನಿದ ಕಾಲೊದ ಮರಿಯಲೊಡು ತೋರುನ ಮುಲಿತ್ತ ಇಲ್ಲ
About preparing an offline Wikipedia,ಆಫ್‍ಲೈನ್ ವಿಕಿಪೀಡಿಯೊ ತಯಾರ್ ಮಲ್ಪುನ ಬಗೆಟ್
"Mangalore All India Radio has recordings of many Tulu-related folk and literary programs, which are taken from them and put on a wiki.","ಕುಡ್ಲ ಆಕಾಶವಾಣಿಟ್ಲ ಮಸ್ತ್ ತುಳು ಸಂಬಂಧಿ ಜಾನಪದ, ಸಾಹಿತ್ಯ ಕಾರ್ಯಕ್ರಮೋ, ರೆಕಾರ್ಡಿಂಗ್ ಉಂಡು ಆಯಿನ್ ಅಕುಲೇಡ ದೆತ್ಹೊಂತ್ ವಿಕಿಗ್ ಪಾಡುನಾ."
"Soon, he went to the drug store and showed Ramya the drug.",ಬೇಗನೆ ಮರ್ದ್ ಗ್ ಪೋದು ರಮ್ಯನ್ ತೋಜಿಪಾದ್ ಮರ್ದ್ ಕಂತೆರ್
It's new in our house.,ನಮ ನಮ ಇಲ್ಲಡ್ ಪುದ್ವಾರ್
Anant does the duty,ಅನಂತೆ ಕೆಲಸ ಮಲ್ಪುವೆ
"Otherwise, you can eat a thin, jackfruit-free fruit with an eye that's caught inside the raspberry.",ಇಜ್ಜಾಂಡ ರಚ್ಚದ ಉಲಯಿಡ್ ಪತ್ತಿದಿನ ಕಣ್ಣಿ ಪನ್ನುಣ್ಡ ಸಪೂರದ ಬೋಲೆ ದಾಂತಿ ಪಚ್ಚಿರ್ ತಿನೋಲಿ
Sati worships,ಸತೀಶೆ  ಆರಾಧನೆ-ಮಲ್ಪುವೆ
Kartik borrows money,ಕಾರ್ತಿಕೆ ಕಾಸ್‍ನ್ ಕಡ ದೆತೊನುವೆ
Sixteen Types of Worship to God,ದೇವೆರೆಗು ಪದಿನಾಜಿ ಬಗೆತ ಪೂಜೋಪಚಾರ
Doolappa is said to be done in the northern language,ಬಡಕಾಯಿ ಭಾಷೆಡ್ ದೂಲಪ್ಪ ಮಲ್ಪುನಿ ಪನ್ಪೆರ್
Today is the highest number of positive cases in a single day in the district.,ಇಂದು ಜಿಲ್ಲೆಡ್ ಒಂಜೇ ದಿನಟ್ ತೊಜಿನ ಜಾಸ್ತಿ ಪಾಸಿಟಿವ್ ಸಂಖ್ಯೆ ಆತುಂಡು .
Our elders have warned us all by saying the name of the model.,ಮಾದಿರನ ಪುದರು ಪಣ್ಡು ನಮಕು ಮಾತ ಎಚ್ಚರ ಕೊರ್ತೆರು ನಮ್ಮ ಹಿರಿಯಾಕುಲು
A fishing fair is held at the end of the Cheliyaru Kandige Ullaklu Fair [1] and Ullaklu Kandige Fair.,"ಚೆಳ್ಯಾರು ಕಂಡಿಗೆ (ತೆಲಾರ್ ಕಂಡೇವು) ಉಳ್ಳಾಕ್ಲೆ ಜಾತ್ರೆ.[೧], ಉಳ್ಳಾಕ್ಲೆ ಕಂಡೇವು ಜಾತ್ರೆದ ಅಕೇರಿಗ್ ಮೀನ್ ಪತ್ತುನ ಜಾತ್ರೆ ಆಪುಂಡು"
It is possible to see the meaning of life,ಜೀವನದ ಸಾರ್ಥಕತೆನ್ ತೂವರೆಗ್ ಸಾದ್ಯ
"If we are today, we have tied the gods in the darshan kola.",ನಮ ಇನಿ ಇತ್ತಿನಡೆ ದರ್ಸನ ಕೋಲಡ್ ದೈವೊಲೆನ್ ಕಟ್ ಪಾಡಿಯ
Pregnant women should go out with the feet of all the elderly.,ಬಂಜಿನಾಲ್ ಪೂರಾ ಹಿರಿಯಕ್ಲೆನ ಕಾರ್ ಪತ್ತುದ್ ಪಿದಾಡೊಡ್
"As said, we should please the believer with fear and devotion.",ಪನ್ಪುಲೆಕ ಭಯ ಭಕ್ತಿದೊಟ್ಟುಗು ನಂಬಿದೈವೊದ ಮನಮೆಚ್ಚಾವೊಡು ನಮ
Sivananda is choosing a dress,ಶಿವಾನಂದೆ ಕುಂಟುನು ಅಜತೊಂದುಲ್ಲೆ
Arya takes the fruit,ಆರ್ಯೆ ಪಂರ್ದ್ ದೆತೊನುವೆ
"So when the father was angry, he used to say a word to the children.",ಅಂಚಾದು ಅಪ್ಪನಕೆಳೆಗು ಕೋಪ ಬನ್ನಗ ಒಂಜಿ ಪಾತೆರೊ ಜೋಕುಲೆಗು ದಕ್ಕೊಂಡಿತ್ತೆರು
The moon is offering thanks to him,ಚಂದ್ರೆ ಆಯಗ್ ಸೊಲ್ಮೆ ಸಂದಯ್‍ತ ಮಲ್ತೊಂದುಲ್ಲೆ
A window in the room where Ramya was sleeping began to open.,ರಮ್ಯ ಜೆತೊಂದಿನ ಅದೆತ್ತ ಕಂಡಿದ ಬಾಕಿಲೊಂಜಿ ತಟ ಪಟ ಆಯೆರೆ ಸುರು ಆಂಡ್
in both hands.,ರಡ್ಡ್ ಕೈಟ್ಲ ತಗೆನ್ಲ
"125 kits were distributed in Uppinangady, Neliadi, Guruvayunakere, Kakkinje area and in the second phase to selected families in Okkattur, Kanyana and Melkar of Vitla environment.","125 ಕಿಟ್‌ಲೆನ್ ಉಪ್ಪಿನಂಗಡಿ, ನೆಲ್ಯಾಡಿ, ಗುರುವಾಯನಕೆರೆ, ಕಕ್ಕಿಂಜೆ ಪ್ರದೇಶಡ್ ಅಂಚನೇ ರಡ್ಡನೇ ಹಂತಡ್ ವಿಟ್ಲ ಪರಿಸರದ ಒಕ್ಕೆತ್ತೂರು, ಕನ್ಯಾನ ಆತೆ ಅತ್ತoದೆ ಮೆಲ್ಕಾರ್ ಡ್ ಉಪ್ಪುನ ಕೆಲವು ಆಯ್ದ ಕುಟುಂಬಲೆಗ್ ಕಿಟ್ ಕೊರಿಯೆರ್."
"Waiting disappears, maya remains",ಕಾಯ ಅಲಿಯುಂಡು ಮಾಯೆ ಒರಿಯುಂಡು
It's a new property,ಅವು ಪೊಸ ಸೊತ್ತು
"In ancient times, a king had three sons.",ಪಿರಾಕ್ ದ ಕಾಲೊಡ್ ಒಂಜಿ ರಾಜಗ್ ಮೂಜಿ ಜನ ಆಣ್ ಜೊಕುಲು ಇತ್ತೆರ್
After sixteen days of the child's,ಅಯಿತ ರೆಸನ್ ಪೂಕಾಯಿದ ರೆಸ ಕೊರ್ಪಿನಿ ಪನ್ಪೆರ್
Survey writes,ಸರ್ವೇಶೆ  ಬರೆಪೆ
"In some families, we put Kanchil in the children of the family from the very beginning.",ಕೆಲವು ಕುಟುಂಬೊಲೆಡ್ ಪಿರಾಕುಡೆ ಕುಟುಂಬದ ಜೋಕ್ಲಡ ಕಂಚಿಲ್ ಪಾಡಾವ
During the War of Independence,ಸ್ವಾತಂತ್ರ್ಯ ಸಂಗ್ರಾಮೊದ ಗಲ್ಗೆಡ್
Sudhanva is friendly,ಸುಧನ್ವೆ ಸ್ನೇಹಮಯಿಯಾದುಲ್ಲೆ
Abandoned hunger and thirst,ಬಡವು ಬಾಜೆಲ್ ಪನ್ಪಿ ಗೊಡವೆಲಾ ದಾಮತಿಲೆಕ ಇತ್ತೆ
There can be many such things.,ಇಂಚಿನ ನಾನಾ ವಿಚಾರೊಲ್ ಇಪ್ಪ
"On the whole, the curry chicken appears to be the main ingredient.",ಒಟ್ಟುಡ್ ಅಗೆಲುಗ್ ಪುಂಡಿ ಕೊರಿದ ಕಜಿಪು ಪ್ರಧಾನ ತೊಜುಂಡು
There was a king in a town.,ಒ೦ಜಿ ಊರುಡು ಒಂಜಿ ಅರಸು ಇತ್ತೆಗೆ
Her father was one of them.,ಅಲೆನ ಅಮ್ಮೆಲ ಒರಿ ಪಂದ್
Why in the past,ದಾಯೆ ಪಂಡ ದುಂಬು ತುಳುನಾಡುಡ್
